longitude,latitude
-111.013219,32.216404
-111.006096,32.210191
-111.005447,32.211723
-111.003895,32.211904
-110.994256,32.206737
-110.990219,32.208889
-110.989504,32.214455
-110.992422,32.215245
-110.98878,32.207739
-110.992959,32.206638
-111.005416,32.2117
-111.005314,32.211649
-111.00539,32.211836
-111.005654,32.211713
-111.019636,32.210881
-111.005508,32.211709
-111.002179,32.211001
-111.002009,32.213193
-111.016246,32.213542
-111.005384,32.211713
-110.996738,32.213074
-111.00536,32.211737
-111.005259,32.211459
-111.005464,32.211848
-111.005342,32.211768
-111.005365,32.211702
-111.004782,32.211809
-111.005375,32.211761
-111.011405,32.21187
-111.005381,32.211715
-111.000137,32.213817
-111.005449,32.211678
-110.99977,32.225968
-111.005311,32.211799
-110.996738,32.210698
-110.998483,32.21148
-110.99442,32.217275
-111.020067,32.214829
-111.003602,32.221499
-111.003289,32.218851
-111.003372,32.210436
-110.997188,32.2194
-110.998741,32.208441
-111.005131,32.212491
-111.001309,32.206659
-111.013304,32.21794
-111.005708,32.212207
-110.996445,32.219542
-110.995825,32.206862
-110.996922,32.223577
-111.003512,32.209692
-110.996286,32.213378
-111.011959,32.218915
-111.014891,32.207019
-110.998175,32.221832
-110.99482,32.217468
-111.00036,32.21556
-111.020057,32.2242
-111.020051,32.216821
-110.989117,32.211426
-110.996641,32.215899
-111.005037,32.212505
-110.989683,32.212006
-111.00388,32.212055
-111.004204,32.214046
-110.998751,32.223731
-111.004255,32.214001
-110.994653,32.217948
-111.003076,32.213574
-111.019518,32.217859
-110.998812,32.210786
-110.998465,32.222531
-111.004279,32.213953
-111.004158,32.213974
-111.003953,32.2075
-111.004583,32.221748
-111.020139,32.210086
-111.00165200000001,32.212669
-111.004145,32.213973
-110.993509,32.216832
-111.004318,32.214105000000004
-110.994173,32.206413
-111.003586,32.20836
-110.99578700000001,32.217478
-111.001793,32.213254
-111.001067,32.208548
-111.004311,32.213988
-110.991651,32.213856
-111.005487,32.221367
-110.988746,32.212477
-111.004403,32.214086
-111.004191,32.214114
-111.001887,32.206851
-111.004232,32.213987
-111.000608,32.214451
-110.998672,32.224274
-111.003705,32.210441
-111.004382,32.214099
-110.989016,32.208255
-111.004243,32.213972
-111.004259,32.213918
-111.003379,32.220183
-110.997249,32.214858
-111.00432,32.213919
-111.004262,32.213902
-110.990828,32.213529
-111.003966,32.214265
-111.004233,32.21464
-111.00409,32.214648
-111.020114,32.21274
-110.986345,32.209883
-111.004112,32.214592
-111.004103,32.214659
-111.016024,32.210263
-111.004074,32.214606
-111.005178,32.213979
-111.003017,32.219554
-111.004101,32.21459
-111.004059,32.214574
-111.00413,32.214502
-111.004161,32.214481
-111.004286,32.214559
-110.989111,32.214289
-111.001457,32.212756
-111.004053,32.214613
-110.988546,32.21208
-110.999263,32.225398
-111.00416,32.214517
-111.004084,32.214532
-110.993318,32.214835
-111.018223,32.21901
-111.003952,32.214931
-110.998683,32.223766
-111.003976,32.213663
-111.003943,32.214127
-111.003944,32.214533
-110.993816,32.206147
-111.002576,32.214748
-111.004289,32.214552
-111.00326,32.219544
-111.002113,32.21688
-111.004126,32.214564
-110.988831,32.209146
-111.004401,32.214898
-111.016696,32.217989
-111.003805,32.214329
-110.987721,32.209101
-111.004324,32.214532
-111.002343,32.215793
-111.00425,32.214572
-110.998826,32.209053
-110.994528,32.218115
-111.004538,32.215081
-111.013454,32.216856
-111.001498,32.222155
-110.999492,32.221548
-110.994301,32.217958
-111.004485,32.214871
-110.988336,32.2085
-111.004234,32.214668
-111.00447,32.214881
-111.002814,32.207833
-111.00423,32.214574
-110.999115,32.220784
-111.003592,32.214986
-110.99468,32.217958
-111.00349,32.214109
-111.003558,32.214087
-111.003641,32.214053
-110.99608,32.214275
-111.003499,32.214125
-111.003666,32.214114
-111.001762,32.206079
-111.003204,32.220052
-111.009659,32.226468
-111.003791,32.214915
-110.996876,32.212531
-110.996665,32.215889
-110.994636,32.218021
-110.995997,32.221573
-110.998879,32.21549
-110.986177,32.213161
-110.996344,32.215939
-110.996344,32.216022
-110.994338,32.219232
-110.997892,32.214883
-110.998305,32.220275
-110.999115,32.215312
-110.998983,32.215225
-110.99846,32.214765
-110.998938,32.215169
-110.998847,32.215023
-110.998908,32.215527
-110.998985,32.215695
-110.998825,32.223639
-110.998904,32.215514
-110.998183,32.214901
-110.99377,32.217018
-110.998018,32.214922
-110.989746,32.209141
-110.989907,32.208059
-110.99035,32.214418
-110.990344,32.214253
-110.990624,32.209405
-110.993206,32.214809
-110.994668,32.217048
-110.996481,32.216942
-110.998201,32.214858
-110.998955,32.215472
-111.00863,32.22192
-111.003699,32.215096
-110.9901,32.209025
-111.002123,32.216587
-111.003553,32.215353
-111.004077,32.215894
-110.989679,32.214252
-111.003622,32.214681
-111.003694,32.214852
-111.003196,32.217348
-110.984526,32.211621
-111.003775,32.215871
-110.998913,32.215484
-110.995432,32.217252
-110.998241,32.214908
-110.998219,32.214879
-110.998443,32.214857
-110.994868,32.217434
-110.995651,32.218794
-110.994356,32.219286
-110.995704,32.218784
-110.988871,32.209577
-110.984378,32.212746
-110.984668,32.211704
-110.990235,32.214621
-110.991442,32.208899
-110.991696,32.212114
-111.018315,32.21094
-110.994602,32.217851
-110.995597,32.218843
-110.995839,32.218538
-110.994785,32.217406
-110.997289,32.21541
-110.997256,32.215285
-110.995015,32.217026
-110.992049,32.207535
-110.997003,32.215918
-110.994746,32.217455
-111.002461,32.217012
-111.003548,32.21491
-111.00329,32.214602
-111.003346,32.214628
-111.001607,32.212526
-110.997222,32.21662
-111.003939,32.214971
-110.988644,32.208621
-111.002409,32.214374
-111.001259,32.213163
-111.003903,32.221207
-111.00349,32.214036
-111.003842,32.214161
-111.002545,32.214677
-111.00369,32.214857
-110.994535,32.217451
-110.995349,32.217228
-110.994706,32.217274
-110.991825,32.211962
-110.99084,32.214207
-110.98886,32.211716
-110.98883,32.211758
-110.990681,32.214231
-110.990982,32.213988
-110.982765,32.215059
-110.991263,32.214743
-110.98756,32.21285
-110.993253,32.215504
-110.990491,32.209276
-110.991083,32.209698
-110.984899,32.210942
-110.991087,32.214828
-110.990214,32.21493
-110.9903,32.214532
-110.990452,32.214579
-110.994571,32.21703
-111.002453,32.218035
-111.004964,32.217298
-111.0029,32.218105
-111.019685,32.21375
-111.003727,32.215743
-111.001388,32.209548
-111.003726,32.214034
-111.009906,32.210389
-111.003941,32.215254
-111.004066,32.215772
-111.004109,32.215578
-111.008073,32.213212
-110.993909,32.215034
-111.007951,32.213554
-111.009035,32.214707
-111.010249,32.213864
-111.007187,32.21332
-111.004234,32.211831
-111.004665,32.21237
-111.004759,32.212396
-110.998859,32.224622
-111.003479,32.214778
-111.003464,32.215012
-110.995629,32.213348
-111.00545,32.215723
-111.004084,32.215451
-111.009779,32.211261
-111.003883,32.214953
-111.002927,32.21737
-111.002777,32.217347
-111.002923,32.217401
-110.994622,32.217154
-110.990526,32.209773
-110.99011900000001,32.208891
-110.990204,32.208937
-110.989858,32.208267
-110.983142,32.212818
-110.989596,32.209973
-110.989592,32.210171
-110.989616,32.208468
-110.993863,32.207704
-110.99188,32.208713
-110.990156,32.214366
-110.99019,32.21384
-110.990136,32.208869
-110.996365,32.207168
-110.990845,32.206977
-110.991996,32.208898
-110.99197,32.208683
-110.994803,32.210373
-110.993264,32.211489
-111.003454,32.206805
-110.990217,32.208871
-110.98928,32.206363
-110.990157,32.208954
-110.990144,32.208939
-110.990906,32.214223
-110.990439,32.21452
-110.994786,32.217402
-110.994872,32.21719
-110.996574,32.219688
-110.996483,32.219562
-110.983428,32.212582
-110.990931,32.215055
-110.990373,32.21199
-110.989664,32.209881
-111.019995,32.21255
-110.989908,32.210578
-110.98845,32.209422000000004
-110.990278,32.208861
-110.989676,32.207902
-110.988624,32.208489
-110.989617,32.210068
-110.989667,32.209998
-110.990845,32.214204
-111.017451,32.212125
-110.994299,32.217238
-110.985979,32.209133
-110.991101,32.214226
-110.984098,32.212491
-110.991056,32.214293
-110.99241,32.212292
-110.994558,32.210404
-110.994881,32.210348
-110.995093,32.208132
-111.000049,32.206635
-110.991151,32.207937
-110.991161,32.207964
-110.990003,32.208875
-110.987481,32.20846
-110.990042,32.208693
-110.989863,32.20896
-110.994979,32.217488
-110.994613,32.217436
-110.996286,32.21724
-110.994713,32.21739
-110.998461,32.211335
-110.986856,32.210004
-110.988755,32.209626
-110.989824,32.209222
-111.000266,32.210367
-110.991228,32.214044
-110.991019,32.214291
-110.984139,32.213604
-110.986053,32.210963
-110.991082,32.214291
-110.995386,32.20961
-110.990165,32.208268
-110.994348,32.206799
-110.982347,32.214683
-110.986239,32.208958
-110.988816,32.208259
-110.993848,32.207806
-111.004296,32.210659
-111.003697,32.214104
-111.020683,32.211802
-111.004712,32.214245
-111.003917,32.220486
-111.003949,32.215579
-111.002492,32.220082
-111.005367,32.219695
-111.005255,32.219871
-111.00472,32.219279
-111.004389,32.220059
-111.004871,32.21999
-111.004953,32.219732
-111.001616,32.221468
-110.997897,32.216441
-110.997883,32.214064
-110.997578,32.218973
-110.996285,32.21724
-111.00216,32.22116
-111.005005,32.21999
-111.001737,32.224435
-111.002905,32.217442
-110.993199,32.207043
-110.981931,32.215481
-110.991455,32.207565
-110.988657,32.208383
-110.981949,32.21583
-110.989327,32.208477
-110.989654,32.208501
-110.990873,32.208526
-110.993442,32.214201
-110.99478,32.209949
-110.994138,32.207543
-110.99536,32.20726
-111.005322,32.206811
-110.995352,32.2076
-110.995447,32.207671
-110.989564,32.208004
-110.989511,32.20856
-110.991398,32.214375
-111.000103,32.225629
-110.998617,32.223694
-110.998664,32.223977
-110.993411,32.213125
-110.997892,32.215122
-110.998877,32.215193
-111.003221,32.218555
-111.005923,32.218045
-111.006757,32.218002
-111.020294,32.216992
-111.009424,32.215055
-111.008142,32.213396
-110.995511,32.208195
-111.007874,32.213829
-111.005725,32.215849
-111.00332,32.215437
-111.003356,32.215397
-111.003034,32.217149
-111.005644,32.215556
-111.010735,32.216525
-111.00224300000001,32.216911
-111.005091,32.215056
-111.004026,32.215842
-111.001578,32.223998
-111.003982,32.219284
-111.004512,32.219583
-111.004421,32.219416
-110.994541,32.217664
-110.994222,32.210375
-110.984213,32.212118
-110.991121,32.207894
-110.993665,32.213234
-110.998704,32.211051
-110.994967,32.206258
-110.990783,32.207834
-110.98862,32.208249
-110.981804,32.21513
-110.981934,32.215505
-110.999041,32.216653
-111.014766,32.226902
-111.00284,32.216848
-111.003417,32.217002
-111.00362,32.214102
-111.003891,32.214205
-110.99722,32.214645
-110.998926,32.21564
-111.00203,32.220588
-111.002971,32.217751
-111.003519,32.218247
-110.994387,32.206121
-110.99052,32.208107
-110.987671,32.210034
-110.981687,32.224337
-110.981893,32.224316
-110.981736,32.224508
-110.988842,32.207928
-110.993407,32.208729
-110.994459,32.21043
-110.997589,32.219397
-110.997041,32.223385
-111.001711,32.220159
-111.004467,32.219701
-111.005443,32.216913
-111.007919,32.218374
-111.002366,32.219328
-111.014282,32.225946
-111.009443,32.22542
-111.002925,32.217445
-111.002959,32.217448
-111.002434,32.21818
-110.99499900000001,32.210039
-110.98661,32.208927
-110.991123,32.20794
-110.991222,32.207962
-110.988891,32.207964
-110.99405,32.214042
-110.990366,32.214213
-110.990311,32.21443
-110.993451,32.208729
-110.993575,32.207895
-110.988997,32.207902
-110.993568,32.213017
-110.993283,32.211426
-110.990746,32.207613
-111.020896,32.208974
-110.988803,32.208195
-110.984297,32.211609
-110.984332,32.211715
-110.984433,32.211738
-110.984107,32.211898
-110.984241,32.211767
-110.984334,32.211757
-110.984398,32.211606
-110.984281,32.211795
-110.984278,32.211807
-110.987779,32.211649
-110.996628,32.21734
-110.984277,32.211769
-110.994905,32.210439
-110.990689,32.212303
-111.003383,32.215822
-111.003359,32.215781
-111.018332,32.207028
-110.996556,32.22258
-111.003488,32.228496
-111.01377599999999,32.230542
-111.013899,32.228407
-110.993002,32.21338
-110.994839,32.21035
-110.986887,32.21322
-110.989417,32.208555
-110.9952,32.20531
-110.997463,32.207223
-110.994894,32.217529999999996
-111.001748,32.220195
-111.001997,32.219555
-111.004161,32.219083
-111.009572,32.226373
-111.020063,32.224654
-111.017934,32.214177
-111.021346,32.211027
-111.015748,32.206928
-111.010302,32.210553
-111.009005,32.209035
-110.987594,32.21015
-110.993655,32.218189
-110.99657,32.21971
-110.999676,32.217733
-110.993778,32.213958
-110.99467,32.213063
-110.994632,32.21046
-110.994661,32.210255
-111.002944,32.207725
-111.017962,32.209941
-111.016738,32.229666
-111.016272,32.229955
-111.013759,32.23061
-111.014474,32.232156
-111.010907,32.220374
-110.989199,32.214287
-110.993503,32.214107
-110.989416,32.208453
-110.981636,32.214656
-110.981846,32.222722
-110.988466,32.212322
-110.996866,32.213108
-110.995912,32.221592
-111.002851,32.222154
-111.000367,32.219529
-110.998809,32.210988
-110.997148,32.208225
-110.996465,32.209076
-110.994885,32.207247
-110.989472,32.208084
-110.997759,32.218309
-111.017311,32.208767
-111.018164,32.209997
-111.019998,32.216542
-111.002968,32.225481
-111.00084,32.224894
-111.001844,32.220539
-111.00176,32.220463
-111.001827,32.220505
-110.991172,32.207631
-110.992596,32.211707
-110.992643,32.211733
-110.989888,32.2078
-110.992258,32.216245
-110.993478,32.214071
-110.997444,32.213313
-111.001639,32.212588
-111.012306,32.209415
-111.013864,32.230498
-111.009931,32.234777
-111.014292,32.230657
-111.016915,32.222747
-111.015419,32.216881
-111.007867,32.217109
-111.005555,32.215572
-111.006132,32.212494
-110.997337,32.209085
-110.993346,32.208768
-110.990769,32.207724
-110.998226,32.20913
-111.000252,32.212557
-110.996745,32.219199
-110.998429,32.223742
-111.005354,32.22068
-111.004502,32.2188
-111.016687,32.215297
-111.019049,32.214775
-110.99585,32.205555
-110.989402,32.208517
-110.989404,32.208473
-110.987515,32.21056
-110.990405,32.215481
-110.998937,32.222104
-111.006254,32.225427
-111.013703,32.230182
-111.014015,32.230292
-111.016312,32.223529
-111.019204,32.216545000000004
-111.016594,32.21943
-111.012698,32.220005
-111.005989,32.21692
-110.993023,32.207143
-110.993485,32.208658
-110.993465,32.210363
-110.990987,32.208018
-110.998968,32.213214
-111.02173,32.209128
-111.017972,32.222979
-111.00621,32.216834
-110.998244,32.216762
-110.992958,32.20707
-111.005065,32.215002
-111.010824,32.213094
-111.010259,32.214008
-111.018636,32.227122
-111.018701,32.21279
-111.008052,32.20785
