name, days, real_crossings_maj, crossings_near_structure_maj, real_crossings_min, crossings_near_structure_min, simulated_crossings_maj, sim_crossings_near_structure_maj, simulated_crossings_min, sim_crossings_near_structure_min
"Tippy",220.416608796296,177,1,1213,0,223.812,1.595,832.893,0.239
"Danielle",730.583356481481,768,35,3186,12,491.921,2.89,1869.219,0.347
