road,name,coordinates,saved?,what goes under,start coords,end coords,original to dataset?
10S LA CHOLLA           BLVD,RCB,"32.187416667, -111.01175",yes,culvert,"32.18733567831624, -111.01175160499047","32.187477552128165, -111.01175898106553",yes
10W INA                 RD,Santa Cruz River Br EB,"32.3376000000001, -111.0822",yes,riverbed,"32.33751936262805, -111.08223262289266","32.337528524307054, -111.08002057836113",yes
I 010                       1,RCBC,"32.2953694440001, -111.032377778",yes,culvert,"32.295283178928315, -111.0324093497415","32.29548012285133, -111.03236754937443",yes
10W SUNSET              RD,Santa Cruz River Br,"32.3054000000001, -111.0501",yes,riverbed,"32.3054000000001, -111.0501","32.30600807757924, -111.04776595682914",yes
10W CUSHING             ST,Santa Cruz River Bridge,"32.2177222220001, -110.982666667",yes,riverbed,"32.2177222220001, -110.982666667","32.21738832353364, -110.98172540178922",yes
S 086,Santa Cruz River Br,"32.1778, -110.9908",yes,riverbed,"32.1778, -110.9908","32.17776151872148, -110.98992098752596",yes
10W INA                 RD,Ina Rd TI UP,"32.3376000000001, -111.0669",yes,road,"32.3376000000001, -111.0669","32.33761751368896, -111.06405657551879",yes
10W EL CAMINO DEL CERRO,Ruthrauff Rd TI UP,"32.2942, -111.0297",yes,road,"32.29425675127379, -111.03048941319861","32.29423215705102, -111.02647747730308",yes
W GRANT RD,NA,"32.25034314408303, -110.99172596710939",yes,railroad,"32.25034143039185, -110.99190737656518","32.25033561386589, -110.99152567171261",no
I 010 FRONTAGE RD,NA,"32.35224249398951, -111.08147389027778",yes,culvert,"32.35219691833619, -111.08142512040504","32.35226811295112, -111.08149840431125",no
I 010 and I 010 FRONTAGE RD,NA,"32.39057552488425, -111.11896013281694",yes,culvert,"32.39030982378803, -111.11871162998118","32.39092461688556, -111.11929134411234",no
W AVRA VALLEY RD,NA,"32.40255929717104, -111.14621710897507",yes,riverbed,"32.40222039293322, -111.1472135356125","32.40279149688779, -111.14548821901629",no
W TWIN PEAKS RD,NA,"32.37639731263323, -111.11424010074839",yes,riverbed,"32.37569174344802, -111.11574525044291","32.37701676876676, -111.11291050149903",no
"I 010, I 010 FRONTAGE RD, and FREEWAY",NA,"32.26998373335646, -111.00915095891989",yes,culvert,"32.26977665521714, -111.0089991682839","32.27019456323538, -111.00931566352614",no
N SILVERBELL RD,NA,"32.35201337296847, -111.10727232748944",yes,riverbed,"32.35189292056995, -111.10714952531853","32.35216057110998, -111.10748291448816",no
W TWIN PEAKS RD,NA,"32.374666883520916, -111.12354355775697",yes,riverbed,"32.37472982923846, -111.12395822415208","32.374616988216815, -111.12315657311083",no
N SILVERBELL RD,NA,"32.37085315599241, -111.13753070889605",yes,culvert,"32.37069736062779, -111.13736407622774","32.37090516343938, -111.13756314309711",no
N SILVERBELL RD,NA,"32.368082055266996, -111.13311054690422",yes,culvert,"32.3679727448171, -111.13292003615572","32.368146952354145, -111.13328670983537",no
N SILVERBELL RD,NA,"32.36498638532259, -111.12644205718352",yes,culvert,"32.36494881051252, -111.12628677992983","32.36504243682693, -111.12653285720216",no
N SILVERBELL RD,NA,"32.36306285712281, -111.11976832546583",yes,riverbed,"32.36300284637495, -111.1196424126984","32.363121804034606, -111.11999977585648",no
N SILVERBELL RD,NA,"32.24788109669484, -111.01153965676595",yes,culvert,"32.24783645505139, -111.01163806747161","32.24792216640345, -111.01146678200774",no
N SILVERBELL RD,NA,"32.24829335871639, -111.01182300012324",yes,culvert,"32.24827031821654, -111.01186876970642","32.24832986532322, -111.01174337643037",no
I 010 and I 010 FRONTAGE RD,NA,"32.29517298673014, -111.03061134967113",yes,culvert,"32.29480382005052, -111.0303681345375","32.29551100552591, -111.03103741613187",no
W AJO WAY,NA,"32.17628437157804, -111.05344439339828",yes,culvert,"32.176245277441815, -111.05357358871989","32.17631692066091, -111.05333828042716",no
